Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Belgium,DOEL-1,PWR,433,Operational,ELECTRAB,7/1/69,1969,7/18/74,8/28/74,2/15/75,,97.9
Belgium,TIHANGE-1,PWR,962,Operational,ELECTRAB,6/1/70,1970,2/21/75,3/7/75,10/1/75,,80.9
Belgium,DOEL-2,PWR,433,Operational,ELECTRAB,9/1/71,1971,8/4/75,8/21/75,12/1/75,,93.8
Belgium,DOEL-3,PWR,1006,Operational,ELECTRAB,1/1/75,1975,6/14/82,6/23/82,10/1/82,,56.9
Belgium,TIHANGE-2,PWR,1008,Operational,ELECTRAB,4/1/76,1976,10/5/82,10/13/82,6/1/83,,55.8
Belgium,TIHANGE-3,PWR,1046,Operational,ELECTRAB,11/1/78,1978,6/5/85,6/15/85,9/1/85,,88.9
Belgium,DOEL-4,PWR,1039,Operational,ELECTRAB,12/1/78,1978,3/31/85,4/8/85,7/1/85,,93.5
Bulgaria,KOZLODUY-1,PWR,408,Permanent Shutdown,KOZNPP,4/1/70,1970,6/30/74,7/24/74,10/28/74,12/31/02,
Bulgaria,KOZLODUY-2,PWR,408,Permanent Shutdown,KOZNPP,4/1/70,1970,8/22/75,8/24/75,11/10/75,12/31/02,
Bulgaria,KOZLODUY-3,PWR,408,Permanent Shutdown,KOZNPP,10/1/73,1973,12/4/80,12/17/80,1/20/81,12/31/06,
Bulgaria,KOZLODUY-4,PWR,408,Permanent Shutdown,KOZNPP,10/1/73,1973,4/25/82,5/17/82,6/20/82,12/31/06,
Bulgaria,KOZLODUY-5,PWR,953,Operational,KOZNPP,7/9/80,1980,11/5/87,11/29/87,12/23/88,,86
Bulgaria,KOZLODUY-6,PWR,953,Operational,KOZNPP,4/1/82,1982,5/29/91,8/2/91,12/30/93,,89.1
Bulgaria,BELENE-1,PWR,953,Cancelled Constr.,KOZNPP,1/1/87,1987,,,,3/28/12,
Bulgaria,BELENE-2,PWR,953,Cancelled Constr.,KOZNPP,3/31/87,1987,,,,3/28/12,
Czechoslovakia,BOHUNICE A1,HWGCR,93,Permanent Shutdown,JAVYS,8/1/58,1958,10/24/72,12/25/72,12/25/72,2/22/77,
Czechoslovakia,BOHUNICE-1,PWR,408,Permanent Shutdown,JAVYS,4/24/72,1972,11/27/78,12/17/78,4/1/80,12/31/06,
Czechoslovakia,BOHUNICE-2,PWR,408,Permanent Shutdown,JAVYS,4/24/72,1972,3/15/80,3/26/80,1/1/81,12/31/08,
Czechoslovakia,BOHUNICE-3,PWR,471,Operational,"SE,plc",12/1/76,1976,8/7/84,8/20/84,2/14/85,,93.7
Czechoslovakia,BOHUNICE-4,PWR,471,Operational,"SE,plc",12/1/76,1976,8/2/85,8/9/85,12/18/85,,94.5
Czechoslovakia,DUnited KingdomOVANY-1,PWR,468,Operational,CEZ,1/1/79,1979,2/12/85,2/24/85,5/3/85,,92.6
Czechoslovakia,DUnited KingdomOVANY-2,PWR,471,Operational,CEZ,1/1/79,1979,1/23/86,1/30/86,3/21/86,,90.6
Czechoslovakia,DUnited KingdomOVANY-3,PWR,468,Operational,CEZ,3/1/79,1979,10/28/86,11/14/86,12/20/86,,87.4
Czechoslovakia,DUnited KingdomOVANY-4,PWR,471,Operational,CEZ,3/1/79,1979,6/1/87,6/11/87,7/19/87,,91.4
Czechoslovakia,MOCHOVCE-1,PWR,436,Operational,"SE,plc",10/13/83,1983,6/9/98,7/4/98,10/29/98,,93.3
Czechoslovakia,MOCHOVCE-2,PWR,436,Operational,"SE,plc",10/13/83,1983,12/1/99,12/20/99,4/11/00,,94.2
Czechoslovakia,TEMELIN-3,PWR,892,Suspended Constr.,CEZ,1/1/85,1985,,,,,
Czechoslovakia,TEMELIN-4,PWR,892,Suspended Constr.,CEZ,1/1/85,1985,,,,,
Czechoslovakia,TEMELIN-1,PWR,1003,Operational,CEZ,2/1/87,1987,10/11/00,12/21/00,6/10/02,,82.3
Czechoslovakia,TEMELIN-2,PWR,1003,Operational,CEZ,2/1/87,1987,5/31/02,12/29/02,4/18/03,,84.8
Czechoslovakia,MOCHOVCE-3,PWR,440,Under Construction,"SE,plc",1/27/87,1987,8/20/16,9/5/16,11/9/16,,
Czechoslovakia,MOCHOVCE-4,PWR,440,Under Construction,"SE,plc",1/27/87,1987,8/20/17,9/5/17,11/9/17,,
Finland,LOVIISA-1,PWR,496,Operational,FORTUMPH,5/1/71,1971,1/21/77,2/8/77,5/9/77,,93
Finland,LOVIISA-2,PWR,496,Operational,FORTUMPH,8/1/72,1972,10/17/80,11/4/80,1/5/81,,93.7
Finland,OLKILUOTO-1,BWR,880,Operational,TVO,2/1/74,1974,7/21/78,9/2/78,10/10/79,,97.4
Finland,OLKILUOTO-2,BWR,880,Operational,TVO,11/1/75,1975,10/13/79,2/18/80,7/10/82,,93.1
Finland,OLKILUOTO-3,PWR,1600,Under Construction,TVO,8/12/05,2005,,,1/1/16,,
France,G-2 (MARCOULE),GCR,39,Permanent Shutdown,COGEMA,3/1/55,1955,7/21/58,4/22/59,4/22/59,2/2/80,
France,G-3 (MARCOULE),GCR,40,Permanent Shutdown,COGEMA,3/1/56,1956,6/11/59,4/4/60,4/4/60,6/20/84,
France,CHINON A-1,GCR,70,Permanent Shutdown,EDF,2/1/57,1957,9/16/62,6/14/63,2/1/64,4/16/73,
France,CHINON A-2,GCR,180,Permanent Shutdown,EDF,8/1/59,1959,8/17/64,2/24/65,2/24/65,6/14/85,
France,CHINON A-3,GCR,360,Permanent Shutdown,EDF,3/1/61,1961,3/1/66,8/4/66,8/4/66,6/15/90,
France,CHOOZ-A (ARDENNES),PWR,305,Permanent Shutdown,SENA,1/1/62,1962,10/18/66,4/3/67,4/15/67,10/30/91,
France,EL-4 (MONTS D'ARREE),HWGCR,70,Permanent Shutdown,EDF,7/1/62,1962,12/23/66,7/9/67,6/1/68,7/31/85,
France,ST. LAURENT A-1,GCR,390,Permanent Shutdown,EDF,10/1/63,1963,1/7/69,3/14/69,6/1/69,4/18/90,
France,BUGEY-1,GCR,540,Permanent Shutdown,EDF,12/1/65,1965,3/21/72,4/15/72,7/1/72,5/27/94,
France,ST. LAURENT A-2,GCR,465,Permanent Shutdown,EDF,1/1/66,1966,7/4/71,8/9/71,11/1/71,5/27/92,
France,PHENIX,FBR,130,Operational,CEA/EDF,11/1/68,1968,8/31/73,12/13/73,7/14/74,2/1/10 23:59,0
France,FESSENHEIM-1,PWR,880,Operational,EDF,9/1/71,1971,3/7/77,4/6/77,1/1/78,,60.2
France,FESSENHEIM-2,PWR,880,Operational,EDF,2/1/72,1972,6/27/77,10/7/77,4/1/78,,66.2
France,BUGEY-2,PWR,910,Operational,EDF,11/1/72,1972,4/20/78,5/10/78,3/1/79,,61.2
France,BUGEY-3,PWR,910,Operational,EDF,9/1/73,1973,8/31/78,9/21/78,3/1/79,,55.4
France,BUGEY-4,PWR,880,Operational,EDF,6/1/74,1974,2/17/79,3/8/79,7/1/79,,96.2
France,BUGEY-5,PWR,880,Operational,EDF,7/1/74,1974,7/15/79,7/31/79,1/3/80,,67.8
France,TRICASTIN-1,PWR,915,Operational,EDF,11/1/74,1974,2/21/80,5/31/80,12/1/80,,76.7
France,TRICASTIN-2,PWR,915,Operational,EDF,12/1/74,1974,7/22/80,8/7/80,12/1/80,,73.8
France,DAMPIERRE-1,PWR,890,Operational,EDF,2/1/75,1975,3/15/80,3/23/80,9/10/80,,66.3
France,GRAVELINES-1,PWR,910,Operational,EDF,2/1/75,1975,2/21/80,3/13/80,11/25/80,,75.1
France,GRAVELINES-2,PWR,910,Operational,EDF,3/1/75,1975,8/2/80,8/26/80,12/1/80,,51.9
France,DAMPIERRE-2,PWR,890,Operational,EDF,4/1/75,1975,12/5/80,12/10/80,2/16/81,,88.7
France,TRICASTIN-3,PWR,915,Operational,EDF,4/1/75,1975,11/29/80,2/10/81,5/11/81,,87.9
France,TRICASTIN-4,PWR,915,Operational,EDF,5/1/75,1975,5/31/81,6/12/81,11/1/81,,87.2
France,DAMPIERRE-3,PWR,890,Operational,EDF,9/1/75,1975,1/25/81,1/30/81,5/27/81,,65.8
France,DAMPIERRE-4,PWR,890,Operational,EDF,12/1/75,1975,8/5/81,8/18/81,11/20/81,,90.3
France,GRAVELINES-3,PWR,910,Operational,EDF,12/1/75,1975,11/30/80,12/12/80,6/1/81,,82.6
France,GRAVELINES-4,PWR,910,Operational,EDF,4/1/76,1976,5/31/81,6/14/81,10/1/81,,80.4
France,ST. LAURENT B-1,PWR,915,Operational,EDF,5/1/76,1976,1/4/81,1/21/81,8/1/83,,64.4
France,ST. LAURENT B-2,PWR,915,Operational,EDF,7/1/76,1976,5/12/81,6/1/81,8/1/83,,44.4
France,SUPER-PHENIX,FBR,1200,Permanent Shutdown,EDF,12/13/76,1976,9/7/85,1/14/86,12/1/86,12/31/98,
France,BLAYAIS-1,PWR,910,Operational,EDF,1/1/77,1977,5/20/81,6/12/81,12/1/81,,86.9
France,BLAYAIS-2,PWR,910,Operational,EDF,1/1/77,1977,6/28/82,7/17/82,2/1/83,,64.2
France,CHINON B-1,PWR,905,Operational,EDF,3/1/77,1977,10/28/82,11/30/82,2/1/84,,52.3
France,CHINON B-2,PWR,905,Operational,EDF,3/1/77,1977,9/23/83,11/29/83,8/1/84,,64.5
France,PALUEL-1,PWR,1330,Operational,EDF,8/15/77,1977,5/13/84,6/22/84,12/1/85,,70.6
France,PALUEL-2,PWR,1330,Operational,EDF,1/1/78,1978,8/11/84,9/14/84,12/1/85,,98.9
France,BLAYAIS-3,PWR,910,Operational,EDF,4/1/78,1978,7/29/83,8/17/83,11/14/83,,86.1
France,BLAYAIS-4,PWR,910,Operational,EDF,4/1/78,1978,5/1/83,5/16/83,10/1/83,,66.3
France,CRUAS-1,PWR,915,Operational,EDF,8/1/78,1978,4/2/83,4/29/83,4/2/84,,82.3
France,CRUAS-2,PWR,915,Operational,EDF,11/15/78,1978,8/1/84,9/6/84,4/1/85,,75.7
France,ST. ALBAN-1,PWR,1335,Operational,EDF,1/29/79,1979,8/4/85,8/30/85,5/1/86,,98.7
France,PALUEL-3,PWR,1330,Operational,EDF,2/1/79,1979,8/7/85,9/30/85,2/1/86,,82.7
France,CRUAS-3,PWR,915,Operational,EDF,4/15/79,1979,4/9/84,5/14/84,9/10/84,,89.9
France,ST. ALBAN-2,PWR,1335,Operational,EDF,7/31/79,1979,6/7/86,7/3/86,3/1/87,,66.8
France,CRUAS-4,PWR,915,Operational,EDF,10/1/79,1979,10/1/84,10/27/84,2/11/85,,86.6
France,GRAVELINES-5,PWR,910,Operational,EDF,10/1/79,1979,8/5/84,8/28/84,1/15/85,,84.2
France,GRAVELINES-6,PWR,910,Operational,EDF,10/1/79,1979,7/21/85,8/1/85,10/25/85,,84.5
France,CATTENOM-1,PWR,1300,Operational,EDF,10/29/79,1979,10/24/86,11/13/86,4/1/87,,59.7
France,FLAMANVILLE-1,PWR,1330,Operational,EDF,12/1/79,1979,9/29/85,12/4/85,12/1/86,,98.8
France,PALUEL-4,PWR,1330,Operational,EDF,2/1/80,1980,3/29/86,4/11/86,6/1/86,,66.3
France,BELLEVILLE-1,PWR,1310,Operational,EDF,5/1/80,1980,9/9/87,10/14/87,6/1/88,,82
France,FLAMANVILLE-2,PWR,1330,Operational,EDF,5/1/80,1980,6/12/86,7/18/86,3/9/87,,70.7
France,CATTENOM-2,PWR,1300,Operational,EDF,7/28/80,1980,8/7/87,9/17/87,2/1/88,,87.8
France,BELLEVILLE-2,PWR,1310,Operational,EDF,8/1/80,1980,5/25/88,7/6/88,1/1/89,,71.1
France,CHINON B-3,PWR,905,Operational,EDF,10/1/80,1980,9/18/86,10/20/86,3/4/87,,76.2
France,CHINON B-4,PWR,905,Operational,EDF,2/1/81,1981,10/13/87,11/14/87,4/1/88,,85.7
France,NOGENT-1,PWR,1310,Operational,EDF,5/26/81,1981,9/12/87,10/21/87,2/24/88,,99.4
France,NOGENT-2,PWR,1310,Operational,EDF,1/1/82,1982,10/4/88,12/14/88,5/1/89,,86.8
France,CATTENOM-3,PWR,1300,Operational,EDF,6/15/82,1982,2/16/90,7/6/90,2/1/91,,74.3
France,PENLY-1,PWR,1330,Operational,EDF,9/1/82,1982,4/1/90,5/4/90,12/1/90,,85.7
France,GOLFECH-1,PWR,1310,Operational,EDF,11/17/82,1982,4/24/90,6/7/90,2/1/91,,88.5
France,CATTENOM-4,PWR,1300,Operational,EDF,9/28/83,1983,5/4/91,5/27/91,1/1/92,,54.3
France,CHOOZ B-1,PWR,1500,Operational,EDF,1/1/84,1984,7/25/96,8/30/96,5/15/00,,78.9
France,PENLY-2,PWR,1330,Operational,EDF,8/1/84,1984,1/10/92,2/4/92,11/1/92,,99.1
France,GOLFECH-2,PWR,1310,Operational,EDF,10/1/84,1984,5/21/93,6/18/93,3/4/94,,96.1
France,CHOOZ B-2,PWR,1500,Operational,EDF,12/31/85,1985,3/10/97,4/10/97,9/29/00,,84.4
France,CIVAUX-1,PWR,1495,Operational,EDF,10/15/88,1988,11/29/97,12/24/97,1/29/02,,68.9
France,CIVAUX-2,PWR,1495,Operational,EDF,4/1/91,1991,11/27/99,12/24/99,4/23/02,,83.8
France,FLAMANVILLE-3,PWR,1600,Under Construction,EDF,12/3/07,2007,12/30/16,12/31/16,,,
Germany,VAK KAHL,BWR,15,Permanent Shutdown,VAK,7/1/58,1958,11/13/60,6/17/61,2/1/62,11/25/85,
Germany,RHEINSBERG,PWR,62,Permanent Shutdown,EWN,1/1/60,1960,3/1/66,5/6/66,10/11/66,6/1/90,
Germany,AVR JUELICH,HTGR,13,Permanent Shutdown,AVR,8/1/61,1961,8/16/66,12/17/67,5/19/69,12/31/88,
Germany,MZFR,PHWR,52,Permanent Shutdown,KBG,12/1/61,1961,9/29/65,3/9/66,12/19/66,5/3/84,
Germany,GUNDREMMINGEN-A,BWR,237,Permanent Shutdown,KGB,12/12/62,1962,8/14/66,12/1/66,4/12/67,1/13/77,
Germany,LINGEN,BWR,183,Permanent Shutdown,KWL,10/1/64,1964,1/31/68,7/1/68,10/1/68,1/5/77,
Germany,HDR GROSSWELZHEIM,BWR,25,Permanent Shutdown,HDR,1/1/65,1965,10/14/69,10/14/69,8/2/70,4/20/71,
Germany,OBRIGHEIM,PWR,340,Permanent Shutdown,EnBW,3/15/65,1965,9/22/68,10/29/68,3/31/69,5/11/05,
Germany,NIEDERAICHBACH,HWGCR,100,Permanent Shutdown,KKN,6/1/66,1966,12/17/72,1/1/73,1/1/73,7/31/74,
Germany,STADE,PWR,640,Permanent Shutdown,E.ON,12/1/67,1967,1/8/72,1/29/72,5/19/72,11/14/03,
Germany,WUERGASSEN,BWR,640,Permanent Shutdown,PE,1/26/68,1968,10/20/71,12/18/71,11/11/75,8/26/94,
Germany,BIBLIS-A,PWR,1167,Permanent Shutdown,RWE,1/1/70,1970,7/16/74,8/25/74,2/26/75,8/6/11,
Germany,GREIFSWALD-1,PWR,408,Permanent Shutdown,EWN,3/1/70,1970,12/15/73,12/17/73,7/12/74,2/14/90,
Germany,GREIFSWALD-2,PWR,408,Permanent Shutdown,EWN,3/1/70,1970,12/3/74,12/23/74,4/16/75,2/14/90,
Germany,BRUNSBUETTEL,BWR,771,Permanent Shutdown,KKB,4/15/70,1970,6/23/76,7/13/76,2/9/77,8/6/11,
Germany,PHILIPPSBURG-1,BWR,890,Permanent Shutdown,EnKK,10/1/70,1970,3/9/79,5/5/79,3/26/80,8/6/11,
Germany,THTR-300,HTGR,296,Permanent Shutdown,HKG,5/3/71,1971,9/13/83,11/16/85,6/1/87,9/29/88,
